team1,team2,winner,margin,matchDate,match_id
Super Kings,KKR,Super Kings,27 runs,"Oct 15, 2021",T203817
Capitals,KKR,KKR,3 wickets,"Oct 13, 2021",T206442
RCB,KKR,KKR,4 wickets,"Oct 11, 2021",T208597
Capitals,Super Kings,Super Kings,4 wickets,"Oct 10, 2021",T201819
Capitals,RCB,RCB,7 wickets,"Oct 8, 2021",T205942
Mumbai,Sunrisers,Mumbai,42 runs,"Oct 8, 2021",T201979
KKR,Royals,KKR,86 runs,"Oct 7, 2021",T204179
Super Kings,Punjab Kings,Punjab Kings,6 wickets,"Oct 7, 2021",T201866
Sunrisers,RCB,Sunrisers,4 runs,"Oct 6, 2021",T209992
Royals,Mumbai,Mumbai,8 wickets,"Oct 5, 2021",T205599
Super Kings,Capitals,Capitals,3 wickets,"Oct 4, 2021",T207682
Sunrisers,KKR,KKR,6 wickets,"Oct 3, 2021",T207430
RCB,Punjab Kings,RCB,6 runs,"Oct 3, 2021",T207754
Super Kings,Royals,Royals,7 wickets,"Oct 2, 2021",T205672
Mumbai,Capitals,Capitals,4 wickets,"Oct 2, 2021",T209349
KKR,Punjab Kings,Punjab Kings,5 wickets,"Oct 1, 2021",T201051
Sunrisers,Super Kings,Super Kings,6 wickets,"Sep 30, 2021",T203061
Royals,RCB,RCB,7 wickets,"Sep 29, 2021",T204742
Punjab Kings,Mumbai,Mumbai,6 wickets,"Sep 28, 2021",T208262
Capitals,KKR,KKR,3 wickets,"Sep 28, 2021",T206700
Royals,Sunrisers,Sunrisers,7 wickets,"Sep 27, 2021",T206862
RCB,Mumbai,RCB,54 runs,"Sep 26, 2021",T203043
KKR,Super Kings,Super Kings,2 wickets,"Sep 26, 2021",T202406
Punjab Kings,Sunrisers,Punjab Kings,5 runs,"Sep 25, 2021",T203188
Capitals,Royals,Capitals,33 runs,"Sep 25, 2021",T202046
RCB,Super Kings,Super Kings,6 wickets,"Sep 24, 2021",T207776
Mumbai,KKR,KKR,7 wickets,"Sep 23, 2021",T202680
Sunrisers,Capitals,Capitals,8 wickets,"Sep 22, 2021",T204364
Royals,Punjab Kings,Royals,2 runs,"Sep 21, 2021",T207857
RCB,KKR,KKR,9 wickets,"Sep 20, 2021",T204307
Super Kings,Mumbai,Super Kings,20 runs,"Sep 19, 2021",T201256
Punjab Kings,Capitals,Capitals,7 wickets,"May 2, 2021",T208407
Royals,Sunrisers,Royals,55 runs,"May 2, 2021",T209103
Super Kings,Mumbai,Mumbai,4 wickets,"May 1, 2021",T203694
Punjab Kings,RCB,Punjab Kings,34 runs,"Apr 30, 2021",T208245
KKR,Capitals,Capitals,7 wickets,"Apr 29, 2021",T201595
Royals,Mumbai,Mumbai,7 wickets,"Apr 29, 2021",T209461
Sunrisers,Super Kings,Super Kings,7 wickets,"Apr 28, 2021",T205094
RCB,Capitals,RCB,1 run,"Apr 27, 2021",T208915
Punjab Kings,KKR,KKR,5 wickets,"Apr 26, 2021",T209997
Super Kings,RCB,Super Kings,69 runs,"Apr 25, 2021",T202915
KKR,Royals,Royals,6 wickets,"Apr 24, 2021",T205585
