name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,Super Kings,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,Super Kings,Right hand Bat,Right arm Medium,Batter
MoeenAli,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,Super Kings,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,Super Kings,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
ShreyasIyer,Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
ShimronHetmyer,Capitals,Left hand Bat,Not Available,Top order Batter
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,Capitals,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,Capitals,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
SrikarBharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
