match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T203817,Super Kings Vs KKR,Super Kings,1,RuturajGaikwad,out,32,27,3,1,118.51
T203817,Super Kings Vs KKR,Super Kings,2,FafduPlessis,out,86,59,7,3,145.76
T203817,Super Kings Vs KKR,Super Kings,3,RobinUthappa,out,31,15,0,3,206.66
T203817,Super Kings Vs KKR,Super Kings,4,MoeenAli,not_out,37,20,2,3,185.00
T203817,Super Kings Vs KKR,KKR,1,ShubmanGill,out,51,43,6,0,118.60
T203817,Super Kings Vs KKR,KKR,2,VenkateshIyer,out,50,32,5,3,156.25
T203817,Super Kings Vs KKR,KKR,3,NitishRana,out,0,1,0,0,0.00
T203817,Super Kings Vs KKR,KKR,4,SunilNarine,out,2,2,0,0,100.00
T203817,Super Kings Vs KKR,KKR,5,EoinMorgan,out,4,8,0,0,50.00
T203817,Super Kings Vs KKR,KKR,6,DineshKarthik,out,9,7,0,1,128.57
T203817,Super Kings Vs KKR,KKR,7,ShakibAlHasan,out,0,1,0,0,0.00
T203817,Super Kings Vs KKR,KKR,8,RahulTripathi,out,2,3,0,0,66.66
T203817,Super Kings Vs KKR,KKR,9,LockieFerguson,not_out,18,11,1,1,163.63
T203817,Super Kings Vs KKR,KKR,10,ShivamMavi,out,20,13,1,2,153.84
T203817,Super Kings Vs KKR,KKR,11,VarunChakravarthy,not_out,0,0,0,0,-
T206442,Capitals Vs KKR,Capitals,1,PrithviShaw,out,18,12,2,1,150.00
T206442,Capitals Vs KKR,Capitals,2,ShikharDhawan,out,36,39,1,2,92.30
T206442,Capitals Vs KKR,Capitals,3,MarcusStoinis,out,18,23,1,0,78.26
T206442,Capitals Vs KKR,Capitals,4,ShreyasIyer,not_out,30,27,1,1,111.11
T206442,Capitals Vs KKR,Capitals,5,RishabhPant,out,6,6,1,0,100.00
T206442,Capitals Vs KKR,Capitals,6,ShimronHetmyer,out,17,10,0,2,170.00
T206442,Capitals Vs KKR,Capitals,7,AxarPatel,not_out,4,4,0,0,100.00
T206442,Capitals Vs KKR,KKR,1,ShubmanGill,out,46,46,1,1,100.00
T206442,Capitals Vs KKR,KKR,2,VenkateshIyer,out,55,41,4,3,134.14
T206442,Capitals Vs KKR,KKR,3,NitishRana,out,13,12,0,1,108.33
T206442,Capitals Vs KKR,KKR,4,RahulTripathi,not_out,12,11,0,1,109.09
T206442,Capitals Vs KKR,KKR,5,DineshKarthik,out,0,3,0,0,0.00
T206442,Capitals Vs KKR,KKR,6,EoinMorgan,out,0,3,0,0,0.00
T206442,Capitals Vs KKR,KKR,7,ShakibAlHasan,out,0,2,0,0,0.00
T206442,Capitals Vs KKR,KKR,8,SunilNarine,out,0,1,0,0,0.00
T206442,Capitals Vs KKR,KKR,9,LockieFerguson,not_out,0,0,0,0,-
T208597,RCB Vs KKR,RCB,1,DevduttPadikkal,out,21,18,2,0,116.66
T208597,RCB Vs KKR,RCB,2,ViratKohli,out,39,33,5,0,118.18
T208597,RCB Vs KKR,RCB,3,SrikarBharat,out,9,16,0,0,56.25
T208597,RCB Vs KKR,RCB,4,GlennMaxwell,out,15,18,1,0,83.33
T208597,RCB Vs KKR,RCB,5,ABdeVilliers,out,11,9,1,0,122.22
T208597,RCB Vs KKR,RCB,6,ShahbazAhmed,out,13,14,1,0,92.85
T208597,RCB Vs KKR,RCB,7,DanChristian,out,9,8,1,0,112.50
